,ctoken_symbol,date,total_supply,total_borrow
0,MKR,2022-11-02,851642.8964606773,38877.013600825456
1,MKR,2022-11-03,851642.8964606773,38877.013600825456
2,MKR,2022-11-04,836857.5079939661,33966.49007058624
3,MKR,2022-11-05,876456.198364661,27951.954056044033
4,MKR,2022-11-06,876456.198364661,27951.954056044033
5,MKR,2022-11-07,821530.333881933,19384.225350785295
6,MKR,2022-11-08,753756.4512388473,18222.96812426166
7,MKR,2022-11-09,642374.1072947399,8781.615591504022
8,MKR,2022-11-10,613880.5100839054,909.1208981524504
9,MKR,2022-11-11,733796.1789941498,14566.43963795617
10,MKR,2022-11-12,733796.1789941498,14566.43963795617
11,MKR,2022-11-13,733796.1789941498,14566.43963795617
12,MKR,2022-11-14,733796.1789941498,14566.43963795617
13,MKR,2022-11-15,733796.1789941498,14566.43963795617
14,MKR,2022-11-16,733796.1789941498,14566.43963795617
15,MKR,2022-11-17,583529.3639606665,22548.49966901083
16,MKR,2022-11-18,577522.3103567983,65012.839313987395
17,MKR,2022-11-19,578134.7449078838,107845.72102927143
18,MKR,2022-11-20,587965.9561462714,109700.12010906804
19,MKR,2022-11-21,587965.9561462714,109700.12010906804
20,MKR,2022-11-22,556364.8199376535,104120.86891656459
21,MKR,2022-11-23,573739.469775743,107537.13499876787
22,MKR,2022-11-24,578566.6535649333,108461.61191965963
23,MKR,2022-11-25,569285.4372742187,95995.78458016331
24,MKR,2022-11-26,567717.7566583205,85031.62765399984
25,MKR,2022-11-27,567304.3502307793,84997.59373403685
26,MKR,2022-11-28,562082.7333977431,132328.86782857392
27,MKR,2022-11-29,570162.7646887447,85489.95091000071
28,MKR,2022-11-30,570043.3338078622,110431.34450184705
