,instant,pairCount,txCount,totalVolumeETH,totalVolumeUSD,totalLiquidityETH,totalLiquidityUSD,ethPrice
0,2022-06-16 17:18:01.789334,77014,80845450,282590881.9335147,414967948899.9052,1049484.3719090929,1180786053.1678853,1125.110658884748
1,2022-06-16 17:20:28.022262,77014,80845450,282590881.9335147,414967948899.9052,1049484.3719090929,1180786053.1678853,1125.110658884748
2,2022-06-16 17:23:01.959628,77014,80846165,282591961.0697095,414969158147.8105,1051493.4793267776,1180456979.9021883,1122.6479318330914
3,2022-06-16 17:23:10.980722,77014,80846165,282591961.0697095,414969158147.8105,1051493.4793267776,1180456979.9021883,1122.6479318330914
4,2022-06-26 17:25:27.672882,77909,81275426,283284939.2421605,415720782900.3576,1053714.4805938571,1291511496.2804103,1225.675000264336
5,2022-06-26 17:40:12.043746,77910,81275577,283285099.7877847,415720979702.26624,1053645.1684263689,1292845764.3397603,1227.021964396838
6,2022-06-26 22:38:16.209379,77934,81285096,283291655.02581125,415729018929.6877,1048437.0048889824,1299269209.021,1239.2439440446667
7,2022-07-17 23:37:47.745575,81321,82474779,284257186.6480487,416845843563.38873,961720.2314523464,1306237767.4144812,1358.2305172491378
8,2022-07-22 13:25:19.218434,82360,82801867,284536971.9471113,417272864556.1481,895521.970348511,1459080480.68859,1629.3072967498033
9,2022-07-22 13:26:04.541875,82360,82801886,284536973.51556253,417272867111.63727,895522.4716517677,1459081297.465644,1629.3072967498033
10,2022-07-29 15:50:46.516154,83991,83310737,284940162.7405317303528871676687152,417901193358.6927058232007652140219,868149.2251227242567754772578524589,1507991528.230183785214491099171906,1737.018803440168300049185237138977
