,snapshotTime,poolCount,txCount,totalVolumeETH,totalVolumeUSD,totalValueLockedETH,totalValueLockedUSD,ethPrice
0,50:22.0,7087,16448337,222532451.8,624287000000.0,8189835.78,8586238152.0,1048.401748
1,53:24.6,7087,16448684,222541165.4,624296000000.0,8188242.437,8637395616.0,1054.85343
2,53:33.3,7087,16448691,222541200.6,624296000000.0,8188413.989,8637576578.0,1054.85343
3,53:40.3,7087,16448684,222541165.4,624296000000.0,8188242.437,8637395616.0,1054.85343
4,28:44.2,7114,16542619,225043247.4,627185000000.0,8023137.014,9588871915.0,1195.152457
5,38:40.5,7114,16542763,225043915.8,627186000000.0,8022931.24,9588625984.0,1195.152457
6,38:51.9,7114,16542765,225043949.7,627186000000.0,8022931.203,9588625939.0,1195.152457
7,2022-06-25 19:45:54.844029,7114,16542907,225046334.31241328,627188652494.2465,8021695.161267037,9600855151.494196,1196.8611320275763
8,2022-06-25 19:50:41.186479,7114,16542975,225047040.99697667,627189498299.5216,8021796.223793775,9601003920.542234,1196.864598986485
9,2022-06-25 20:13:52.681491,7114,16543507,225059320.6102192,627204307365.7051,8008723.695587976,9685616664.234749,1209.3832965632937
10,2022-06-25 20:17:06.286659,7114,16543568,225060270.62147427,627205456293.4486,8008717.753378127,9685609477.82541,1209.3832965632937
11,2022-06-25 20:21:05.174102,7114,16543667,225060666.7948996,627205935418.9717,8008908.730710528,9685840442.62124,1209.3832965632937
12,2022-06-25 20:27:10.152649,7115,16543781,225062103.10190448,627207671928.9033,8009366.793938494,9674570993.787115,1207.9070971139508
13,2022-06-26 00:57:01.040608,7115,16549308,225163973.391512,627333238689.7231,7959631.751233609,9891970879.989609,1242.7674029588763
14,2022-06-26 16:04:23.590394,7119,16566998,225504375.3654337,627755487493.448,8014962.701717514,9831989110.044298,1226.704287461926
15,2022-06-26 17:23:35.770239,7119,16568594,225538644.7633119,627797266917.6218,8026299.69885181,9834511208.289404,1225.2858200269127
16,2022-06-26 22:37:34.509909,7119,16574536,225646952.1255585877331900898752284,627929975841.3390329309617063677354,8010466.199787401334231507457087692,9928826686.370056146244187653885252,1239.481752839000595638509981427155
