,${\it VShare}$,${\it AvgEigenCent}$,${\it LiquidityShare}$,${\it BetwCent}^C$,${\it BetwCent}^V$,${\it StableShare}$,${\it \sigma}^{USD}$,${\it PeggingDegree}$,${\it VShare}$_lag,${\it AvgEigenCent}$_lag,${\it LiquidityShare}$_lag,${\it BetwCent}^C$_lag,${\it BetwCent}^V$_lag,${\it StableShare}$_lag,${\it \sigma}^{USD}$_lag,${\it PeggingDegree}$_lag
${\it VShare}$,1.0,0.9867,0.9412,0.7795,0.8028,0.4186,-0.1428,0.2388,0.9896,0.9798,0.9352,0.7732,0.7931,0.4163,-0.1454,0.2332
${\it AvgEigenCent}$,0.9867,1.0,0.908,0.7008,0.7477,0.5043,-0.1567,0.2931,0.9777,0.9877,0.904,0.7022,0.749,0.4908,-0.1601,0.2803
${\it LiquidityShare}$,0.9412,0.908,1.0,0.8332,0.8053,0.3595,-0.0406,0.2456,0.9462,0.9155,0.9901,0.8386,0.8126,0.368,-0.0363,0.2479
${\it BetwCent}^C$,0.7795,0.7008,0.8332,1.0,0.8984,0.0305,-0.0571,-0.0086,0.7872,0.711,0.8461,0.9607,0.8403,0.0328,-0.053,-0.0091
${\it BetwCent}^V$,0.8028,0.7477,0.8053,0.8984,1.0,0.1569,-0.0759,0.079,0.8514,0.8092,0.8519,0.8719,0.8896,0.1828,-0.0809,0.0953
${\it StableShare}$,0.4186,0.5043,0.3595,0.0305,0.1569,1.0,-0.0263,0.4274,0.4254,0.5163,0.3451,0.0229,0.1579,0.9985,-0.0269,0.4287
${\it \sigma}^{USD}$,-0.1428,-0.1567,-0.0406,-0.0571,-0.0759,-0.0263,1.0,-0.0569,-0.1506,-0.1659,-0.0293,-0.0592,-0.079,-0.0236,0.1424,-0.0521
${\it PeggingDegree}$,0.2388,0.2931,0.2456,-0.0086,0.079,0.4274,-0.0569,1.0,0.2426,0.2991,0.2367,-0.0133,0.077,0.4278,-0.0535,0.9657
${\it VShare}$_lag,0.9896,0.9777,0.9462,0.7872,0.8514,0.4254,-0.1506,0.2426,1.0,0.9865,0.9409,0.78,0.8039,0.4169,-0.1428,0.2375
${\it AvgEigenCent}$_lag,0.9798,0.9877,0.9155,0.711,0.8092,0.5163,-0.1659,0.2991,0.9865,1.0,0.9073,0.7007,0.7483,0.5032,-0.1568,0.2921
${\it LiquidityShare}$_lag,0.9352,0.904,0.9901,0.8461,0.8519,0.3451,-0.0293,0.2367,0.9409,0.9073,1.0,0.8343,0.8079,0.3585,-0.0402,0.2449
${\it BetwCent}^C$_lag,0.7732,0.7022,0.8386,0.9607,0.8719,0.0229,-0.0592,-0.0133,0.78,0.7007,0.8343,1.0,0.9008,0.0307,-0.0571,-0.0088
${\it BetwCent}^V$_lag,0.7931,0.749,0.8126,0.8403,0.8896,0.1579,-0.079,0.077,0.8039,0.7483,0.8079,0.9008,1.0,0.156,-0.0761,0.078
${\it StableShare}$_lag,0.4163,0.4908,0.368,0.0328,0.1828,0.9985,-0.0236,0.4278,0.4169,0.5032,0.3585,0.0307,0.156,1.0,-0.0263,0.4272
${\it \sigma}^{USD}$_lag,-0.1454,-0.1601,-0.0363,-0.053,-0.0809,-0.0269,0.1424,-0.0535,-0.1428,-0.1568,-0.0402,-0.0571,-0.0761,-0.0263,1.0,-0.0567
${\it PeggingDegree}$_lag,0.2332,0.2803,0.2479,-0.0091,0.0953,0.4287,-0.0521,0.9657,0.2375,0.2921,0.2449,-0.0088,0.078,0.4272,-0.0567,1.0
